season,season_type,player_id,player_name,player_display_name,position,position_group,headshot_url,games,recent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
2014,REG,00-0007091,,Matt Hasselbeck,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t1nf9avoy2kauqwrvzza",4,IND,30,44,301,2,0,2,7,1,1,313,182,17,-0.628050634928208,0,0.961661341853035,0.124950599633781,8,-11,0,0,0,0,-7.7569808671833,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,16.94,16.94
2014,REG,00-0010346,,Peyton Manning,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xpcd6auodk3w0vda6jal",16,DEN,395,597,4727,39,15,17,118,2,1,5071,1882,225,119.710891078571,2,0.932163281404062,0.13764270374638,24,-24,0,3,1,0,-24.8124112918158,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,312.68,312.68
2014,REG,00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",16,NE,373,582,4109,33,9,21,134,5,3,4691,1862,220,110.730815034961,0,0.8759326369644,0.12642852769349,36,57,0,1,0,11,-4.36786090457463,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,278.06,278.06
2014,REG,00-0019714,S.Lechler,Shane Lechler,P,SPEC,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/we3oe5jqnrb4ag3d4pqu",1,HOU,1,1,10,0,0,0,0,0,0,0,10,1,2.79223562870175,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0.4,0.4
2014,REG,00-0020245,,Mike Vick,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hrg4riwhpjbijfovsjrk",9,NYJ,64,121,604,3,2,19,85,3,1,1055,250,33,-48.4193069326558,0,0.572511848341232,0.00334905054784611,26,153,0,2,1,10,-2.78648311563302,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,43.46,43.46
2014,REG,00-0020337,,Steve Smith,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/k23e0b8cto93he9rt0zc",16,BAL,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,79,134,1065,6,2,1,1413,363,45,39.1618422158068,0,0.753715498938429,0.247689463955638,0.306042884990253,0.585764215426634,0,140.5,219.5
2014,REG,00-0020494,,Santana Moss,WR,WR,,5,WAS,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,10,15,116,0,0,0,111,74,6,4.04795922181802,0,1.04504504504505,0.0833333333333333,0.0949529512403764,0.191467065868263,0,11.6,21.6
2014,REG,00-0020498,,Reggie Wayne,WR,WR,,15,IND,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,64,116,779,2,1,1,1124,273,40,-8.98855159084517,0,0.693060498220641,0.192371475953566,0.213728845788173,0.438167405982069,0,87.9,151.9
2014,REG,00-0020531,D.Brees,Drew Brees,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/i20xlpzdmn7xubotijjd",16,NO,456,659,4952,33,17,29,186,5,3,5072,2173,258,103.029788144097,0,0.976340694006309,0.13908210001837,27,68,1,2,0,6,-3.02074464561883,0,1,1,1,0,0,0,0,1,0,-0.543649147031829,0,0,0.0263157894736842,,,0,302.98,303.98
2014,REG,00-0020679,,Shaun Hill,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dn42ccbwrshm7uksyphy",8,LA,145,229,1657,8,7,18,116,5,1,1807,809,81,-23.8988136999166,0,0.916989485334809,0.0157045863932888,10,10,1,2,0,1,-7.34511819202453,0,1,1,0,0,0,0,0,0,0,-1.4523300213316,0,,0.0344827586206897,,,0,89.28,90.28
2014,REG,00-0021140,J.Peppers,Julius Peppers,DE,DL,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/c7tpbqsqzbg4vw5axw71",1,GB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,1,0,0,0,0,3,0,0,-1.00952622015029,0,0,0.025,0.0125523012552301,0.0462866108786611,0,0,0
2014,REG,00-0021206,J.McCown,Josh McCown,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qcauc37wqjdaxdbq1evu",11,TB,184,327,2206,11,14,36,235,9,3,3268,738,98,-29.446014844427,0,0.675030599755202,0.0211167243646529,25,127,3,1,1,10,1.3190884016332,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,126.94,126.94
2014,REG,00-0021429,C.Palmer,Carson Palmer,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/belgna3tokxga0gjjmwk",6,ARI,141,224,1626,11,3,9,59,2,1,2050,747,82,32.8193431550319,0,0.793170731707317,0.113067899140353,8,25,0,1,0,1,-4.40535474458011,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,103.54,103.54
2014,REG,00-0021547,A.Gates,Antonio Gates,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kndulvysinvn4tpvt0bc",16,LAC,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,69,98,821,12,1,0,913,251,44,46.4011008704928,0,0.899233296823658,0.17283950617284,0.187551355792933,0.390545208314313,0,154.1,223.1
